sectors,sector_budgets,sector_num_projects,name_project,type_project,budget_project,startday_project,enddate_project,area_project,region_project,status_project
 تجاري,1058790791316,902,رؤى الحرم – Roa Al Haram                  ,"فندقي, البنية التحتية, تجاري, سكني",,,31-12-2024,"854,000 متر مربع","مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,مطعم الباحة – Al Baha Resturant                  ,تجاري,,,,,"منطقة الباحة, الباحة",المشاريع المقترحة
 تجاري,1058790791316,902,برج منارة مكة – Manarah Makkah Tower                  ,"فندقي, تجاري, سكني",,,,"74,500 متر مربع","مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,روفان بلازا – Rovan Plaza                  ,تجاري,,11-08-2015,,,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,فندق روزالي الرياض – Rosalie Hotels Riyadh                  ,"فندقي, تجاري",,01-07-2016,,6000 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مول برج جدة – Jeddah Tower Mall                  ,"تجاري, ترفيهي/سياحي",,,,"344,328 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مجمع متعدد الاستخدام – Mixed Use Complex                  ,"تجاري, سكني",,,,,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,مكتب الخطوط السعودية بمكة المكرمة – Saudi Airlines Office in Makk...                  ,تجاري,,,,2.000 مترمربع,"مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,أوريكا سنتر – Ourika Center                  ,تجاري,,01-01-2017,31-12-2017,,"منطقة القصيم, بريدة",مكتمل
 تجاري,1058790791316,902,ملاذ بلازا – Malath Plaza                  ,تجاري,,01-05-2016,,11.000 مترمربع,"المنطقة الشرقية, الدمام",تحت الإنشاء
 تجاري,1058790791316,902,مجمع الكلثم للأعمال – Alkaltham Business Park                  ,تجاري,,01-07-2017,,"18,000 مترمربع","المنطقة الشرقية, الخبر",تحت الإنشاء
 تجاري,1058790791316,902,مبنى الصالحية – Al Salehia Building                  ,"تجاري, ديني/خيري, سكني",,,,"8,000 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مبنى سكني وتجاري – Commercial & Residential Complex                  ,"تجاري, سكني",,,,,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,أبراج الكورنيش – Corniche Towers                  ,"تجاري, سكني",,,,,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,عنيزة بوليفارد – Boulevard Unayzah                  ,تجاري,,,,17.000 مترمربع,"منطقة القصيم, عنيزة",معلن عنه
 تجاري,1058790791316,902,عرعر سيتي سنتر – Arar City Centre                  ,تجاري,,,,,"منطقة الحدود الشمالية, عرعر",معلن عنه
 تجاري,1058790791316,902,ستاند مول – Stand Alone Mall                  ,"فندقي, تجاري",,,,,"المنطقة الشرقية, الخبر",تحت الإنشاء
 تجاري,1058790791316,902,ابراج الانواء – Anwa Towers                  ,"فندقي, تجاري, سكني",,,,"50,000 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,ركاء بلازا – RAKA PLAZA                  ,تجاري,,,,3731 م2,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,صحار – Sahar                  ,"تجاري, تعليمي, ديني/خيري, سكني, صحي",4000000000.0,01-10-2006,,600.000 مترمربع,"منطقة القصيم, بريدة",تحت الإنشاء
 تجاري,1058790791316,902,بيت الفن – Bayt Al Fann                  ,"تجاري, ترفيهي/سياحي",,01-06-2017,,"8,500 متر مربع","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,تطوير مدينة الملك فهد الساحلية – King Fahad Coastal City Development...                  ,"فندقي, تجاري, حكومي, صحي",,,,"114,000 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,أبراج ساحل البيلسان – Bay La Sun Coastal Towers                  ,"فندقي, تجاري, سكني",,,,"60,000 متر مربع","منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",معلن عنه
 تجاري,1058790791316,902,"كمفورت سويت الأهلي جدة – COMFORT SUITES, AL AHLY                  ","فندقي, تجاري",,,31-12-2019,2200 مترمربع,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,شرفات بارك حطين – Shrofat Park Hittin                  ,تجاري,,,,"11,000 مترمربع","منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,"كمفورت سويت، طريق الملك جدة – COMFORT SUITES, KING ROAD JEDDAH                  ","فندقي, تجاري",,,31-12-2019,1200 مترمربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,"كواليتي إن، روشان مول جدة – QUALITY INN, ROSHAN MALL                  ","فندقي, تجاري",,,31-12-2019,,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,فندق نوفوتيل المركز المالي – Novotel Hotel KAFD                  ,"فندقي, تجاري",,,31-12-2020,3.200 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,المركز الحضاري الشرقي بمكة المكرمة                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, حكومي, سكني, صحي",,,,460.000 مترمربع,"مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,المركز الحضاري الجنوبي بمكة المكرمة                  ,"فندقي, البنية التحتية, تجاري, سكني",,,,420.000 مترمربع,"مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,فندق موڤنبيك وعد الشمال – Mövenpick Hotel Wa’ad Al Shamal                  ,"فندقي, تجاري",,,31-12-2018,42.000 مترمربع,"وعد الشمال, منطقة الحدود الشمالية",متأخر
 تجاري,1058790791316,902,شرفات بارك الندى – Shorofat Park Alnada                  ,تجاري,,01-01-2016,,"17,187 مترمربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مركز الخياط الروضة – El Khayyat Center                  ,تجاري,,01-08-2012,31-12-2015,14.500 مترمربع,"منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,فندق السحيم – SUHAIM HOTEL                  ,"فندقي, تجاري",,20-01-2016,,2200 مترمربع,"المنطقة الشرقية, الدمام",تحت الإنشاء
